Date,Price,Open,High,Low,Volume,Chg%
"Apr 21, 2015",62.854,63.14,63.165,62.75,0,-0.45%
"Apr 20, 2015",63.137,62.554,63.167,62.5,0,0.94%
"Apr 17, 2015",62.55,62.317,62.55,62.305,0,0.37%
"Apr 16, 2015",62.317,62.353,62.407,62.245,0,-0.07%
"Apr 15, 2015",62.36,62.294,62.46,62.264,0,0.15%
"Apr 14, 2015",62.268,62.413,62.422,62.21,0,-0.22%
"Apr 13, 2015",62.407,62.184,62.575,62.18,0,0.21%
"Apr 10, 2015",62.276,62.301,62.43,62.209,0,-0.05%
"Apr 09, 2015",62.306,62.201,62.337,62.15,0,0.18%
"Apr 08, 2015",62.192,62.301,62.372,62.139,0,-0.17%
"Apr 07, 2015",62.296,62.206,62.425,62.195,0,0.14%
"Apr 6, 2015",62.207,61.93,62.24,61.93,0,0.40%
"Apr 3, 2015",61.96,62.078,62.14,61.936,0,-0.17%
"Apr 2, 2015",62.067,62.163,62.24,62.046,0,-0.12%
"Apr 1, 2015",62.142,62.291,62.402,62.135,0,-0.24%
"Mar 31, 2015",62.291,62.514,62.68,62.276,0,-0.35%
"Mar 30, 2015",62.51,62.534,62.7,62.438,0,-0.02%
"Mar 27, 2015",62.523,62.84,62.851,62.395,0,-0.50%
"Mar 26, 2015",62.836,62.43,62.843,62.43,0,0.68%
"Mar 25, 2015",62.412,62.344,62.454,62.262,0,0.10%
"Mar 24, 2015",62.348,62.21,62.421,62.14,0,0.19%
"Mar 23, 2015",62.23,62.415,62.415,62.23,0,-0.29%
"Mar 20, 2015",62.41,62.525,62.595,62.41,0,-0.13%
"Mar 19, 2015",62.49,62.39,62.685,62.37,0,-0.34%
"Mar 18, 2015",62.701,62.651,62.79,62.62,0,0.12%
"Mar 17, 2015",62.623,62.778,62.85,62.608,0,-0.25%
"Mar 16, 2015",62.78,63.087,63.138,62.763,0,-0.48%
"Mar 13, 2015",63.083,62.559,63.126,62.433,0,0.87%
"Mar 12, 2015",62.542,62.777,62.796,62.408,0,-0.38%
"Mar 11, 2015",62.781,62.723,62.88,62.7,0,0.10%
"Mar 10, 2015",62.72,62.641,62.836,62.563,0,0.14%
"Mar 09, 2015",62.634,62.475,62.8,62.4,0,0.28%
"Mar 06, 2015",62.46,62.393,62.463,62.3,0,0.13%
"Mar 5, 2015",62.381,62.309,62.43,62.16,0,0.12%
"Mar 4, 2015",62.309,61.819,62.391,61.659,0,0.79%
"Mar 3, 2015",61.819,61.862,61.972,61.772,0,-0.07%
"Mar 2, 2015",61.862,61.713,62,61.675,0,0.33%
"Feb 27, 2015",61.659,61.744,61.92,61.658,0,-0.12%
"Feb 26, 2015",61.731,61.871,62,61.675,0,-0.21%
"Feb 25, 2015",61.862,62.09,62.113,61.84,0,-0.50%
"Feb 24, 2015",62.17,62.172,62.36,62.07,0,0.01%
"Feb 23, 2015",62.163,62.27,62.33,62.117,0,0.09%
"Feb 20, 2015",62.109,62.14,62.29,62.108,0,-0.05%
"Feb 19, 2015",62.138,62.064,62.17,62.03,0,0.13%
"Feb 18, 2015",62.057,62.157,62.361,62.005,0,-0.16%
"Feb 17, 2015",62.157,62.105,62.27,62.07,0,0.08%
"Feb 16, 2015",62.105,62.114,62.25,62.07,0,0.05%
"Feb 13, 2015",62.076,62.14,62.224,62.02,0,-0.12%
"Feb 12, 2015",62.15,62.382,62.54,62.028,0,-0.37%
"Feb 11, 2015",62.382,62.327,62.433,62.12,0,0.09%
"Feb 10, 2015",62.327,62.161,62.374,61.93,0,0.29%
"Feb 09, 2015",62.149,62.058,62.22,61.95,0,0.29%
"Feb 06, 2015",61.97,61.703,62.025,61.665,0,0.42%
"Feb 5, 2015",61.709,61.842,61.95,61.678,0,-0.22%
"Feb 4, 2015",61.842,61.596,61.91,61.565,0,0.40%
"Feb 3, 2015",61.596,61.721,61.85,61.565,0,-0.20%
"Feb 2, 2015",61.719,62.005,62.085,61.645,0,-0.49%
"Jan 30, 2015",62.02,61.807,62.035,61.71,0,0.35%
"Jan 29, 2015",61.801,61.44,61.981,61.43,0,0.72%
"Jan 28, 2015",61.358,61.515,61.54,61.27,0,-0.08%
"Jan 27, 2015",61.41,61.48,61.525,61.355,0,-0.11%
"Jan 26, 2015",61.48,61.515,61.52,61.475,0,0.07%
"Jan 23, 2015",61.44,61.45,61.615,61.373,0,-0.27%
"Jan 22, 2015",61.605,61.635,61.77,61.505,0,0.07%
"Jan 21, 2015",61.56,61.73,61.73,61.54,0,-0.15%
"Jan 20, 2015",61.655,61.825,61.905,61.645,0,0.02%
"Jan 19, 2015",61.645,61.655,61.812,61.605,0,-0.36%
"Jan 16, 2015",61.87,62.085,62.21,61.795,0,-0.31%
"Jan 15, 2015",62.065,61.885,62.105,61.485,0,-0.05%
"Jan 14, 2015",62.095,62.085,62.235,62.06,0,0.19%
"Jan 13, 2015",61.98,62.1,62.195,61.97,0,-0.15%
"Jan 12, 2015",62.075,62.355,62.355,62.065,0,-0.45%
"Jan 09, 2015",62.355,62.5,62.52,62.3,0,-0.51%
"Jan 08, 2015",62.675,63.205,63.205,62.595,0,-0.96%
"Jan 07, 2015",63.28,63.52,63.565,63.17,0,-0.46%
"Jan 6, 2015",63.575,63.375,63.625,63.315,0,0.36%
"Jan 5, 2015",63.345,63.435,63.495,63.285,0,0.09%
"Jan 2, 2015",63.285,63.445,63.502,63.255,0,-0.11%
"Jan 1, 2015",63.355,63.175,63.455,63.175,0,0.51%
"Dec 31, 2014",63.035,63.315,63.39,63.035,0,-0.55%
"Dec 30, 2014",63.385,63.725,63.795,63.355,0,-0.45%
"Dec 29, 2014",63.67,63.665,63.715,63.625,0,0.17%
"Dec 26, 2014",63.562,63.455,63.69,63.455,0,0.07%
"Dec 25, 2014",63.52,63.52,63.52,63.52,0,0.00%
"Dec 24, 2014",63.52,63.435,63.565,63.375,0,0.13%
"Dec 23, 2014",63.44,63.31,63.51,63.25,0,0.33%
"Dec 22, 2014",63.23,63.255,63.33,63.145,0,-0.02%
"Dec 19, 2014",63.245,63.055,63.34,62.99,0,0.40%
"Dec 18, 2014",62.99,63.36,63.4,62.985,0,-0.84%
"Dec 17, 2014",63.525,63.53,63.89,63.45,0,-0.21%
"Dec 16, 2014",63.66,62.915,63.66,62.815,0,0.77%
"Dec 15, 2014",63.175,62.21,63.175,62.21,0,1.04%
"Dec 12, 2014",62.525,62.26,62.535,62.21,0,0.07%
"Dec 11, 2014",62.48,62.05,62.48,62.01,0,0.59%
"Dec 10, 2014",62.115,61.81,62.115,61.77,0,0.38%
"Dec 09, 2014",61.88,61.89,61.955,61.835,0,0.09%
"Dec 08, 2014",61.825,61.98,62.01,61.825,0,-0.15%
"Dec 05, 2014",61.918,61.845,61.918,61.78,0,0.21%
